name,rating,acs,kd_diff,adr,kpr,apr,fpr,hs,kast,event
"Sayonara
KPI",(+2),146,1.38,303.1,1.69,78%,194.3,1.11,0.29,Champions Tour 2024 EMEA: Ascension
"aNguiSt
CGN",,144,1.33,225.4,1.74,76%,155.8,0.87,0.17,Champions Tour 2024 EMEA: Ascension
"Creamydreamy
SNS",,229,1.16,218.1,1.12,79%,139.2,0.79,0.57,Champions Tour 2024 EMEA: Ascension
"westside
DIA",,111,1.12,217.0,1.27,68%,150.6,0.81,0.20,Champions Tour 2024 EMEA: Ascension
"B1SK
KPI",(+1),146,1.12,226.6,1.34,72%,145.0,0.84,0.12,Champions Tour 2024 EMEA: Ascension
"Ticey
SNS",,229,1.11,243.6,1.16,72%,158.7,0.86,0.16,Champions Tour 2024 EMEA: Ascension
"DaviH
CGN",,144,1.09,187.9,1.10,79%,130.7,0.63,0.42,Champions Tour 2024 EMEA: Ascension
"Kiles
KPI",(+1),146,1.08,167.0,1.09,79%,111.5,0.60,0.38,Champions Tour 2024 EMEA: Ascension
"starkk
NOVO",(+1),241,1.08,191.5,1.08,69%,123.5,0.69,0.31,Champions Tour 2024 EMEA: Ascension
"Jesse
VLNT",,253,1.08,208.5,1.14,65%,143.0,0.77,0.32,Champions Tour 2024 EMEA: Ascension
"elllement
CGN",,144,1.08,229.6,1.29,72%,153.3,0.83,0.13,Champions Tour 2024 EMEA: Ascension
"Vince
CGN",,144,1.06,204.4,1.22,74%,126.0,0.76,0.33,Champions Tour 2024 EMEA: Ascension
"glovee
GAL",(+1),162,1.05,189.8,1.00,76%,121.9,0.67,0.35,Champions Tour 2024 EMEA: Ascension
"DESTRUCT1VEE
GAL",,162,1.05,206.8,1.09,77%,130.1,0.77,0.40,Champions Tour 2024 EMEA: Ascension
"Ambi
VLNT",(+2),253,1.03,186.8,0.95,71%,119.9,0.65,0.36,Champions Tour 2024 EMEA: Ascension
"d3ffo
VLNT",,253,1.02,219.0,1.06,66%,148.2,0.79,0.15,Champions Tour 2024 EMEA: Ascension
"Pa1ze
DIA",,111,1.02,233.8,1.05,71%,144.4,0.79,0.17,Champions Tour 2024 EMEA: Ascension
"silenttt
PPP",,110,1.01,201.2,1.03,70%,138.3,0.75,0.21,Champions Tour 2024 EMEA: Ascension
"Tempo
SNS",,229,0.99,209.9,1.09,67%,138.1,0.75,0.15,Champions Tour 2024 EMEA: Ascension
"Insider
KPI",,146,0.99,185.0,1.06,66%,128.7,0.64,0.19,Champions Tour 2024 EMEA: Ascension
"xiTsha
DIA",,111,0.98,185.8,1.07,76%,124.2,0.68,0.38,Champions Tour 2024 EMEA: Ascension
"NeskaaS
VLNT",,253,0.98,186.3,0.97,72%,125.0,0.69,0.23,Champions Tour 2024 EMEA: Ascension
"lurzy0y0
GAL",(+1),162,0.98,174.9,0.92,69%,118.8,0.63,0.25,Champions Tour 2024 EMEA: Ascension
"Masic
GAL",(+1),162,0.98,184.8,0.84,69%,121.7,0.61,0.31,Champions Tour 2024 EMEA: Ascension
"BennY
CGN",,144,0.97,171.0,1.00,71%,110.3,0.63,0.24,Champions Tour 2024 EMEA: Ascension
"zeddy
KPI",,146,0.97,179.7,0.92,74%,114.1,0.61,0.35,Champions Tour 2024 EMEA: Ascension
"Famzzam
SNS",,229,0.95,162.8,0.88,70%,108.0,0.59,0.25,Champions Tour 2024 EMEA: Ascension
"Sacake
VLNT",,253,0.94,168.9,0.78,68%,110.6,0.56,0.34,Champions Tour 2024 EMEA: Ascension
"alannn
NOVO",(+1),241,0.94,193.8,0.95,67%,130.8,0.70,0.20,Champions Tour 2024 EMEA: Ascension
"ip0TT
GAL",,162,0.94,216.1,0.98,69%,142.6,0.76,0.15,Champions Tour 2024 EMEA: Ascension
"N A I S
NOVO",(+2),241,0.93,190.8,0.91,68%,129.0,0.65,0.24,Champions Tour 2024 EMEA: Ascension
"Winteryrook
R8",(+1),108,0.93,209.0,0.96,72%,133.9,0.75,0.24,Champions Tour 2024 EMEA: Ascension
"Prti
DIA",,111,0.90,184.2,0.92,71%,123.8,0.65,0.33,Champions Tour 2024 EMEA: Ascension
"H1ber
NOVO",(+1),241,0.90,181.6,0.87,69%,123.0,0.64,0.36,Champions Tour 2024 EMEA: Ascension
"Akira
PPP",,110,0.89,163.8,0.74,69%,117.3,0.55,0.19,Champions Tour 2024 EMEA: Ascension
"SimonD4rk
R8",,89,0.89,208.3,0.90,62%,142.2,0.72,0.19,Champions Tour 2024 EMEA: Ascension
"Bgg
R8",,108,0.89,188.6,0.90,65%,129.0,0.65,0.24,Champions Tour 2024 EMEA: Ascension
"bipo
NOVO",,241,0.89,195.9,0.95,63%,129.9,0.72,0.17,Champions Tour 2024 EMEA: Ascension
"HearthBeat
SNS",,229,0.88,152.3,0.75,72%,104.2,0.52,0.41,Champions Tour 2024 EMEA: Ascension
"sickrey
R8",,108,0.88,166.2,0.73,63%,113.0,0.54,0.31,Champions Tour 2024 EMEA: Ascension
"Phatt
PPP",(+1),110,0.87,147.6,0.74,71%,98.3,0.52,0.36,Champions Tour 2024 EMEA: Ascension
"Grmekista
DIA",,111,0.87,175.0,0.85,74%,115.8,0.60,0.34,Champions Tour 2024 EMEA: Ascension
"fainz
PPP",,110,0.87,210.8,0.88,63%,146.6,0.71,0.22,Champions Tour 2024 EMEA: Ascension
"KILLDREAM
PPP",,110,0.84,189.4,0.79,65%,130.1,0.63,0.31,Champions Tour 2024 EMEA: Ascension
"steady
R8",,19,0.80,177.0,0.73,63%,121.4,0.58,0.16,Champions Tour 2024 EMEA: Ascension
"moner
R8",,108,0.66,147.0,0.64,58%,104.6,0.49,0.10,Champions Tour 2024 EMEA: Ascension
"Kyu
AMB",(+1),217,1.30,234.3,1.45,79%,150.6,0.83,0.49,Challengers League 2024 North America: Stage 2
"mada
MxS",(+1),498,1.27,267.0,1.38,76%,170.5,0.93,0.20,Challengers League 2024 North America: Stage 2
"velis
RESO",,210,1.23,232.2,1.28,81%,153.8,0.81,0.41,Challengers League 2024 North America: Stage 2
"smiley
AMB",,217,1.21,210.2,1.25,77%,139.3,0.73,0.45,Challengers League 2024 North America: Stage 2
"KHS
RESO",,210,1.20,234.6,1.19,83%,162.9,0.80,0.36,Challengers League 2024 North America: Stage 2
"nabil
RESO",,210,1.20,232.6,1.28,79%,149.9,0.83,0.26,Challengers League 2024 North America: Stage 2
"XXiF
QOR",(+1),291,1.19,243.9,1.32,77%,165.5,0.87,0.23,Challengers League 2024 North America: Stage 2
"Verno
OXG",(+3),507,1.18,201.3,1.25,77%,137.9,0.73,0.38,Challengers League 2024 North America: Stage 2
"brawk
MxS",,498,1.18,212.8,1.21,76%,142.5,0.75,0.33,Challengers League 2024 North America: Stage 2
"v1c
MxS",,498,1.18,222.3,1.24,78%,144.9,0.78,0.39,Challengers League 2024 North America: Stage 2
"Spaz
BLIN",,450,1.17,208.1,1.10,75%,137.9,0.68,0.41,Challengers League 2024 North America: Stage 2
"jcrueL
Sexy",,116,1.16,225.6,1.21,81%,144.1,0.79,0.37,Challengers League 2024 North America: Stage 2
"seven
TSM",(+4),585,1.15,220.3,1.17,77%,143.4,0.77,0.34,Challengers League 2024 North America: Stage 2
"koalanoob
M80",(+2),469,1.15,236.1,1.21,71%,143.6,0.82,0.21,Challengers League 2024 North America: Stage 2
"kumi
FOE",(+2),238,1.14,246.5,1.12,72%,155.5,0.83,0.24,Challengers League 2024 North America: Stage 2
"mitch
OXG",(+4),507,1.14,216.4,1.11,80%,140.3,0.72,0.52,Challengers League 2024 North America: Stage 2
"bao
LS",(+4),432,1.14,239.8,1.22,76%,153.1,0.85,0.29,Challengers League 2024 North America: Stage 2
"penny
YFP",(+1),286,1.13,233.4,1.20,72%,150.7,0.81,0.16,Challengers League 2024 North America: Stage 2
"VYX
FOE",(+2),238,1.13,234.8,1.23,73%,154.0,0.82,0.39,Challengers League 2024 North America: Stage 2
"skuba
OXG",(+2),507,1.11,196.8,1.10,76%,123.2,0.71,0.37,Challengers League 2024 North America: Stage 2
"NiSMO
M80",,469,1.11,200.1,1.10,75%,128.5,0.71,0.42,Challengers League 2024 North America: Stage 2
"Notexxd
LS",(+1),432,1.11,212.3,1.11,75%,140.8,0.75,0.39,Challengers League 2024 North America: Stage 2
"Blahst
spec",,141,1.10,198.1,1.16,77%,126.6,0.74,0.38,Challengers League 2024 North America: Stage 2
"roompa
AMB",(+1),217,1.09,216.2,1.15,77%,137.6,0.76,0.31,Challengers League 2024 North America: Stage 2
"acrian
AMB",,217,1.09,205.5,1.20,74%,134.9,0.73,0.19,Challengers League 2024 North America: Stage 2
"corey
DZ",(+3),498,1.09,226.5,1.10,73%,152.5,0.79,0.29,Challengers League 2024 North America: Stage 2
"Teague
BLIN",(+4),450,1.08,187.5,0.96,75%,125.5,0.64,0.54,Challengers League 2024 North America: Stage 2
"Paincakes
FAIM",(+3),408,1.08,219.5,1.10,78%,140.1,0.76,0.38,Challengers League 2024 North America: Stage 2
"thief
YFP",,286,1.08,211.9,1.14,72%,136.8,0.78,0.19,Challengers League 2024 North America: Stage 2
"furbsa
SAD",(+1),327,1.07,222.7,1.13,70%,149.7,0.82,0.19,Challengers League 2024 North America: Stage 2
"jakee
YFP",,286,1.07,210.0,1.09,77%,136.2,0.76,0.41,Challengers League 2024 North America: Stage 2
"zander
M80",,469,1.06,210.7,1.08,76%,134.2,0.74,0.39,Challengers League 2024 North America: Stage 2
"satellite
AMB",,217,1.06,231.6,1.12,70%,149.4,0.79,0.19,Challengers League 2024 North America: Stage 2
"neptune
FAIM",(+1),408,1.06,221.6,1.09,74%,142.8,0.77,0.41,Challengers League 2024 North America: Stage 2
"gMd
TSM",,585,1.05,206.0,1.00,75%,132.2,0.71,0.41,Challengers League 2024 North America: Stage 2
"mikeE
BLIN",(+1),450,1.04,213.0,1.11,75%,141.4,0.76,0.21,Challengers League 2024 North America: Stage 2
"fiziq
YFP",,286,1.03,176.1,0.94,73%,116.0,0.59,0.31,Challengers League 2024 North America: Stage 2
"zeldris
QOR",,291,1.03,244.9,1.09,71%,155.1,0.85,0.20,Challengers League 2024 North America: Stage 2
"mummAy
FAIM",,408,1.03,170.3,1.00,73%,109.9,0.62,0.41,Challengers League 2024 North America: Stage 2
"BcJ
M80",,469,1.03,186.3,0.94,73%,125.2,0.61,0.38,Challengers League 2024 North America: Stage 2
"Reduxx
OXG",(+1),507,1.02,228.1,1.07,73%,143.5,0.79,0.17,Challengers League 2024 North America: Stage 2
"Will
YFP",(+2),286,1.02,178.8,1.00,76%,118.7,0.63,0.32,Challengers League 2024 North America: Stage 2
"Neon
DNAD",,130,1.01,227.7,1.07,72%,140.8,0.79,0.19,Challengers League 2024 North America: Stage 2
"sym
TSM",(+1),585,1.01,234.7,1.04,69%,151.7,0.81,0.17,Challengers League 2024 North America: Stage 2
"andrew
RESO",(+1),210,1.01,206.0,1.07,70%,134.3,0.76,0.12,Challengers League 2024 North America: Stage 2
"bones
FAIM",,408,1.00,225.5,1.07,71%,146.6,0.75,0.22,Challengers League 2024 North America: Stage 2
"neT
M80",,419,1.00,182.8,1.02,70%,125.4,0.67,0.17,Challengers League 2024 North America: Stage 2
"Jonaaa6
FAIM",(+1),408,1.00,197.5,1.04,70%,131.0,0.69,0.20,Challengers League 2024 North America: Stage 2
"Dark3st
SAD",(+1),413,1.00,193.0,0.93,72%,123.1,0.67,0.36,Challengers League 2024 North America: Stage 2
"Nanners
spec",,141,0.99,194.4,0.96,72%,128.9,0.69,0.26,Challengers League 2024 North America: Stage 2
"jas0n
LS",(+1),432,0.99,193.0,1.00,71%,125.9,0.68,0.20,Challengers League 2024 North America: Stage 2
